CodEscola,Nome,Nº Funcionarios,Nº Salas,Qtd Aluno/Computador,Qtd Computadores,Situação,Tem Biblioteca,Tem Internet,Tem Lab Ciências,Tem Lab Informática,Tem Quadra Cob,Tem Quadra Desc,Tipo,Zona da Escola,NOME DA ENTIDADE,SIGLA DA UF,NOME MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZACAO,NÚMERO DE ALUNOS NO CENSO,MÉDIA HUMANAS,MÉDIA NATUREZA,MÉDIA LINGUAGENS,MÉDIA MATEMATICA,MÉDIA REDAÇAO
26138611,ESCOLA NOSSA SENHORA DA CONCEICAO,68,24,12,15,Em Atividade,S,S,S,S,S,N,Privada,URBANA,ESCOLA NOSSA SENHORA DA CONCEICAO,PE,Olinda,Privada,Urbana,30.0,570.965515136719,497.437927246094,530.324157714844,479.396545410156,635.172424316406
26135811,COLEGIO 2001 ANEXO I,34,9,12,14,Em Atividade,S,S,S,S,N,S,Privada,URBANA,COLEGIO 2001 ANEXO I,PE,Olinda,Privada,Urbana,26.0,585.349975585938,508.731811523438,529.054565429688,492.759094238281,559.090881347656
26136455,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARECHAL FLORIANO PEIXOTO,44,9,10,12,Em Atividade,N,S,N,S,N,N,Pública,URBANA,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARECHAL FLORIANO PEIXOTO,PE,Olinda,Estadual,Urbana,18.0,547.45556640625,473.866668701172,495.422210693359,432.111114501953,522.222229003906
26136460,ESCOLA DE REFERENCIA EM ENSINO MEDIO SANTA ANA,46,16,25,30,Em Atividade,S,S,S,S,S,N,Pública,URBANA,ESCOLA DE REFERENCIA EM ENSINO MEDIO SANTA ANA,PE,Olinda,Estadual,Urbana,198.0,547.64892578125,478.464141845703,507.655975341797,458.308685302734,553.04345703125
26113953,ESCOLA DE REFERENCIA EM ENSINO MEDIO COSTA AZEVEDO,56,12,14,19,Em Atividade,S,S,N,S,N,N,Pública,URBANA,ESCOLA DE REFERENCIA EM ENSINO MEDIO COSTA AZEVEDO,PE,Olinda,Estadual,Urbana,51.0,514.890686035156,431.951171875,472.511627197266,422.127899169922,440.930236816406
26115085,ESCOLA THEMISTOCLES DE ANDRADE,39,6,9,13,Em Atividade,S,S,N,S,N,S,Pública,URBANA,ESCOLA THEMISTOCLES DE ANDRADE,PE,Olinda,Estadual,Urbana,35.0,477.152618408203,431.421051025391,450.873687744141,398.4052734375,480.0
26113325,ESCOLA CLIDIO DE LIMA NIGRO,91,18,18,20,Em Atividade,S,S,S,S,N,S,Pública,URBANA,ESCOLA CLIDIO DE LIMA NIGRO,PE,Olinda,Estadual,Urbana,24.0,481.950012207031,439.614288330078,439.735717773438,438.771423339844,364.285705566406
26113333,ESCOLA CONEGO JONAS TAURINO,72,21,16,18,Em Atividade,S,S,N,S,N,S,Pública,URBANA,ESCOLA CONEGO JONAS TAURINO,PE,Olinda,Estadual,Urbana,39.0,509.795654296875,459.095642089844,450.491302490234,407.117401123047,501.739135742188
26113392,ESCOLA DE REFERENCIA EM ENSINO MEDIO DESEMBARGADOR RENATO FONSECA,37,9,8,10,Em Atividade,S,S,S,S,S,N,Pública,URBANA,ESCOLA DE REFERENCIA EM ENSINO MEDIO DESEMBARGADOR RENATO FONSECA,PE,Olinda,Estadual,Urbana,73.0,530.346008300781,457.488891601563,485.049194335938,431.369842529297,518.09521484375
26113538,ESCOLA GUEDES ALCOFORADO,40,23,10,12,Em Atividade,S,S,S,S,N,S,Pública,URBANA,ESCOLA GUEDES ALCOFORADO,PE,Olinda,Estadual,Urbana,147.0,531.205871582031,451.012939453125,487.059997558594,429.017639160156,457.176483154297
26113635,ESCOLA MARIA EMILIA ROMEIRO ESTELITA,41,11,23,28,Em Atividade,S,S,S,S,N,S,Pública,URBANA,ESCOLA MARIA EMILIA ROMEIRO ESTELITA,PE,Olinda,Estadual,Urbana,94.0,524.789978027344,440.614013671875,478.205993652344,433.135986328125,481.880004882813
26113660,ESCOLA MARECHAL MASCARENHAS DE MORAES,52,15,10,11,Em Atividade,S,S,N,S,N,S,Pública,URBANA,ESCOLA MARECHAL MASCARENHAS DE MORAES,PE,Olinda,Estadual,Urbana,40.0,531.536010742188,462.144012451172,488.928009033203,429.447998046875,481.600006103516
