CodEscola,Nome,Nº Funcionarios,Nº Salas,Qtd Aluno/Computador,Qtd Computadores,Situação,Tem Biblioteca,Tem Internet,Tem Lab Ciências,Tem Lab Informática,Tem Quadra Cob,Tem Quadra Desc,Tipo,Zona da Escola
26138611,ESCOLA NOSSA SENHORA DA CONCEICAO,68,24,12,15,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26133342,ESCOLA PARQUE DO SABER LTDA,7,4,0,2,Em Atividade,N,S,N,N,N,N,Privada,URBANA
26135806,ESCOLA RECANTO DA CRIANCA,8,5,0,0,Em Atividade,S,N,N,N,S,N,Privada,URBANA
26135811,COLEGIO 2001 ANEXO I,34,9,12,14,Em Atividade,S,S,S,S,N,S,Privada,URBANA
26135824,EDUCANDARIO DOM BOSCO,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26138395,INSTITUTO PEDAGOGICO DE OLINDA,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26138522,ESCOLA SANTA THEREZINHA DE JESUS,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26138530,ESCOLA ESPACO ABERTO,0,5,1,2,Em Atividade,N,N,N,N,N,N,Privada,URBANA
26136455,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARECHAL FLORIANO PEIXOTO,44,9,10,12,Em Atividade,N,S,N,S,N,N,Pública,URBANA
26136460,ESCOLA DE REFERENCIA EM ENSINO MEDIO SANTA ANA,46,16,25,30,Em Atividade,S,S,S,S,S,N,Pública,URBANA
26136502,ESCOLA MUNICIPAL ROTARY DE OLINDA,50,7,0,1,Em Atividade,S,N,N,N,S,N,Pública,URBANA
26113929,ESCOLA RAIMUNDO DINIZ,75,21,10,10,Em Atividade,S,S,S,S,N,S,Pública,URBANA
26113945,ESCOLA CLAUDINO LEAL,69,10,10,10,Em Atividade,S,S,N,S,N,N,Pública,URBANA
26113953,ESCOLA DE REFERENCIA EM ENSINO MEDIO COSTA AZEVEDO,56,12,14,19,Em Atividade,S,S,N,S,N,N,Pública,URBANA
26113988,ESCOLA MUNICIPAL REVERENDO JULIAO FERREIRA,16,3,0,1,Em Atividade,N,S,N,N,N,N,Pública,URBANA
26113996,ESCOLA ANA SALES LEME,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26114003,ESCOLA MUNICIPAL DO BEM ESTAR SOCIAL,10,2,10,11,Em Atividade,N,S,N,S,N,N,Pública,URBANA
26114038,ESCOLA MUNICIPAL MONSENHOR VIANA,13,16,2,2,Em Atividade,N,S,N,N,N,N,Pública,URBANA
26114054,ESCOLA SAO LUCAS,25,4,18,18,Em Atividade,N,S,N,S,N,N,Pública,URBANA
26114070,ESCOLA MUNICIPAL DOM JOAO CRISOSTOMO,21,12,18,19,Em Atividade,S,S,N,S,N,S,Pública,URBANA
26114089,ESC MUNICIPAL LAR ESPIRITA BEZERRA DE MENEZES,26,4,4,5,Em Atividade,S,N,N,N,N,N,Pública,URBANA
26114127,ESCOLA SANTA ROSA,20,12,12,14,Em Atividade,S,S,N,S,S,N,Privada,URBANA
